Organisation Name,Organisation Website,Organisation Address,Organisation Languages,Organisation Services,Organisation Google Map,Organisation Details
La Coopérative d'intégration francophone de l'IPE - CIF-IPE / Bureau Summerside,https://tonile.ca/fr/,"30 Greenwood Drive, Unit 101",French,"['General settlement help', 'Get a settlement plan', 'Help preparing for the citizenship test', 'Help connecting with the local community', 'Services available online', 'Help finding a job', 'Help getting a licence or certification in a regulated profession', 'General language training', 'Job-specific language training', 'Informal language learning', 'Services for children', 'Services for youth', 'Services for French speakers']",http://maps.google.com/maps?q=30%20Greenwood%20Drive%2C%20Unit%20101%20Summerside%20Prince%20Edward%20Island%20Canada,"Summerside, Prince Edward IslandC1N 3Y1Languages of service: French/General settlement helpGet a settlement planHelp preparing for the citizenship testHelp connecting with the local communityServices available onlineHelp finding a jobHelp getting a licence or certification in a regulated professionGeneral language trainingJob-specific language trainingInformal language learningServices for childrenServices for youthServices for French speakers"
La Fédération franco-ténoise - Centre interculturel TNO,https://interculturalnwt.ca/fr/,"5204 Franklin Avenue, Suite 102",French,"['General settlement help', 'Get a settlement plan', 'Help preparing for the citizenship test', 'Services available online', 'Help finding a job', 'Services for French speakers']",http://maps.google.com/maps?q=5204%20Franklin%20Avenue%2C%20Suite%20102%20Yellowknife%20Northwest%20Territories%20Canada,"Yellowknife, Northwest TerritoriesX1A 1E2Telephone: 867-680-0610Languages of service: French/General settlement helpGet a settlement planHelp preparing for the citizenship testServices available onlineHelp finding a jobServices for French speakers"
La Francophonie Albertaine Plurielle - Cronquist business centre,https://frap.ca/red-deer/,5560 45 Street,French,"['General settlement help', 'Get a settlement plan', 'Help preparing for the citizenship test', 'Help connecting with the local community', 'Services available online', 'Informal language learning', 'Services for children', 'Services for youth', 'Services for women', 'Services for seniors', 'Services for French speakers', 'Services for people experiencing gender-based violence']",http://maps.google.com/maps?q=5560%2045%20Street%20%20Red%20Deer%20Alberta%20Canada,"Red Deer, AlbertaT4N 1L1Telephone: 403-967-1774Languages of service: French/General settlement helpGet a settlement planHelp preparing for the citizenship testHelp connecting with the local communityServices available onlineInformal language learningServices for childrenServices for youthServices for womenServices for seniorsServices for French speakersServices for people experiencing gender-based violence"
La Francophonie Albertaine Plurielle - FRAP North Office (Northgate Mall),https://www.frap.ca,"9499 137 Avenue NorthWest, Unit 2004",French,"['General settlement help', 'Get a settlement plan', 'Help preparing for the citizenship test', 'Help connecting with the local community', 'Services available online', 'Help finding a job', 'Informal language learning', 'Services for children', 'Services for youth', 'Services for women', 'Services for seniors', 'Services for French speakers', 'Services for people experiencing gender-based violence']",http://maps.google.com/maps?q=9499%20137%20Avenue%20NorthWest%2C%20Unit%202004%20Edmonton%20Alberta%20Canada,"Edmonton, AlbertaT5E 5R8Telephone: 587-520-0561Languages of service: French/General settlement helpGet a settlement planHelp preparing for the citizenship testHelp connecting with the local communityServices available onlineHelp finding a jobInformal language learningServices for childrenServices for youthServices for womenServices for seniorsServices for French speakersServices for people experiencing gender-based violence"
La Francophonie Albertaine Plurielle - Keyano Clollege,https://frap.ca/woodbuffalo/,"8015 Franklin Ave, Unit BL130",French,"['General settlement help', 'Get a settlement plan', 'Help preparing for the citizenship test', 'Help connecting with the local community', 'Services available online', 'Informal language learning', 'Services for children', 'Services for youth', 'Services for women', 'Services for seniors', 'Services for French speakers', 'Services for people experiencing gender-based violence']",http://maps.google.com/maps?q=8015%20Franklin%20Ave%2C%20Unit%20BL130%20Fort%20McMurray%20Alberta%20Canada,"Fort McMurray, AlbertaT9H 3N2Telephone: 780-750-8151Languages of service: French/General settlement helpGet a settlement planHelp preparing for the citizenship testHelp connecting with the local communityServices available onlineInformal language learningServices for childrenServices for youthServices for womenServices for seniorsServices for French speakersServices for people experiencing gender-based violence"
La Francophonie Albertaine Plurielle - La Cité francophone,https://frap.ca/,"8627 Rue Marie-Anne Gaboury, Unit 108",French,"['General settlement help', 'Get a settlement plan', 'Help preparing for the citizenship test', 'Help connecting with the local community', 'Services available online', 'Informal language learning', 'Services for children', 'Services for youth', 'Services for women', 'Services for seniors', 'Services for French speakers', 'Services for people experiencing gender-based violence']",http://maps.google.com/maps?q=8627%20Rue%20Marie-Anne%20Gaboury%2C%20Unit%20108%20Edmonton%20Alberta%20Canada,"Edmonton, AlbertaH2J 2A9Telephone: 780-540-8682Languages of service: French/General settlement helpGet a settlement planHelp preparing for the citizenship testHelp connecting with the local communityServices available onlineInformal language learningServices for childrenServices for youthServices for womenServices for seniorsServices for French speakersServices for people experiencing gender-based violence"
Lakeshore Area Multi-Service Project (LAMP) Inc. - Lakeshore Area Multiservices Project Inc,https://lampchc.org/,185 Fifth Street,"English, Farsi (Persian), Russian, Spanish, Ukrainian","['General settlement help', 'Get a settlement plan', 'Help preparing for the citizenship test', 'Help connecting with the local community', 'Services available online']",http://maps.google.com/maps?q=185%20Fifth%20Street%20%20Etobicoke%20Ontario%20Canada,"Etobicoke, OntarioM8V 2Z5Telephone: 416-252-6471Languages of service: English, Farsi (Persian), Russian, Spanish, Ukrainian/General settlement helpGet a settlement planHelp preparing for the citizenship testHelp connecting with the local communityServices available online"
Langley Community Services Society,https://www.lcss.ca,5339 207 Street,"English, French, Afghan, Arabic, Cantonese, Cebuano, Chavacano, Chinese, Dari, Farsi (Persian), German, Hindi, Italian, Japanese, Korean, Kurdish, Lebanese, Mandarin, other Chinese dialects, Pashto, Persian, Punjabi, Russian, Spanish, Tagalog, Turkish, Ukrainian, Urdu","['General settlement help', 'Get a settlement plan', 'Help preparing for the citizenship test', 'Help connecting with the local community', 'Services available online', 'Help finding a job', 'Informal language learning', 'Services for children', 'Services for youth', 'Services for women', 'Services for seniors', 'Services for refugees']",http://maps.google.com/maps?q=5339%20207%20Street%20%20Langley%20British%20Columbia%20Canada,"Langley, British ColumbiaV3A 2E6Telephone: 604-534-7921Languages of service: English, French, Afghan, Arabic, Cantonese, Cebuano, Chavacano, Chinese, Dari, Farsi (Persian), German, Hindi, Italian, Japanese, Korean, Kurdish, Lebanese, Mandarin, other Chinese dialects, Pashto, Persian, Punjabi, Russian, Spanish, Tagalog, Turkish, Ukrainian, Urdu/General settlement helpGet a settlement planHelp preparing for the citizenship testHelp connecting with the local communityServices available onlineHelp finding a jobInformal language learningServices for childrenServices for youthServices for womenServices for seniorsServices for refugees"
Langley Community Services Society - Welcome Centre-Langley Community Services Society,https://www.lcss.ca,"6470 201 Street, Unit 100","English, French, Arabic, Cantonese, Cebuano, Chavacano, Chinese, Chinese - Simplified (translation only), Dari, Farsi (Persian), Hindi, Japanese, Korean, Kurdish, Lebanese, Mandarin, Pashto, Persian, Punjabi, Spanish, Tagalog, Urdu","['General settlement help', 'Get a settlement plan', 'Help preparing for the citizenship test', 'Help connecting with the local community', 'Services available online', 'Help finding a job', 'Informal language learning', 'Services for children', 'Services for youth', 'Services for women', 'Services for seniors', 'Services for refugees']",http://maps.google.com/maps?q=6470%20201%20Street%2C%20Unit%20100%20Langley%20British%20Columbia%20Canada,"Langley, British ColumbiaV2Y 2X4Telephone: 604-534-7921Languages of service: English, French, Arabic, Cantonese, Cebuano, Chavacano, Chinese, Chinese - Simplified (translation only), Dari, Farsi (Persian), Hindi, Japanese, Korean, Kurdish, Lebanese, Mandarin, Pashto, Persian, Punjabi, Spanish, Tagalog, Urdu/General settlement helpGet a settlement planHelp preparing for the citizenship testHelp connecting with the local communityServices available onlineHelp finding a jobInformal language learningServices for childrenServices for youthServices for womenServices for seniorsServices for refugees"
Language Assessment Services of NS - Learn English NS Testing and Counselling Centre,https://www.learnenglishns.org/apply-online,"6169 Quinpool Road, Unit 201","Mandarin, Persian, Spanish","['Get a settlement plan', 'Services available online', 'Language assessment', 'Services for youth', 'Services for refugees']",http://maps.google.com/maps?q=6169%20Quinpool%20Road%2C%20Unit%20201%20Halifax%20Nova%20Scotia%20Canada,"Halifax, Nova ScotiaB3L 4P8Telephone: 902-431-8879Languages of service: Mandarin, Persian, Spanish/Get a settlement planServices available onlineLanguage assessmentServices for youthServices for refugees"
Le Groupe InnovaNor - Hearst Office,https://www.monnordest.ca,60 9th Street,"English, French","['General settlement help', 'Get a settlement plan', 'Help connecting with the local community', 'Services available online', 'Help finding a job', 'Informal language learning', 'Services for French speakers', 'Services for refugees']",http://maps.google.com/maps?q=60%209th%20Street%20%20Hearst%20Ontario%20Canada,"Hearst, OntarioP0L 1N0Telephone: 705-372-1781Languages of service: English, French/General settlement helpGet a settlement planHelp connecting with the local communityServices available onlineHelp finding a jobInformal language learningServices for French speakersServices for refugees"
Le Groupe InnovaNor - Kapuskasing Office,https://www.monnordest.ca,75 Queen Street,"English, French","['General settlement help', 'Get a settlement plan', 'Help connecting with the local community', 'Services available online', 'Help finding a job', 'Informal language learning', 'Services for French speakers', 'Services for refugees']",http://maps.google.com/maps?q=75%20Queen%20Street%20%20Kapuskasing%20Ontario%20Canada,"Kapuskasing, OntarioP5N 1H5Telephone: 705-372-1781Languages of service: English, French/General settlement helpGet a settlement planHelp connecting with the local communityServices available onlineHelp finding a jobInformal language learningServices for French speakersServices for refugees"
"121 Willowdale Avenue, Unit 203",http://maps.google.com/maps?q=121%20Willowdale%20Avenue%2C%20Unit%20203%20North%20York%20Ontario%20Canada,settlementinfo@ldatd.on.ca,"English, French","['General settlement help', 'Get a settlement plan', 'Help preparing for the citizenship test', 'Help connecting with the local community', 'Services available online', 'Help finding a job', 'Job-specific language training', 'Informal language learning']",mailto:settlementinfo@ldatd.on.ca,"Learning Disabilities Association of Toronto DistrictNorth York, OntarioM2N 6A3Telephone: 647-531-1680Languages of service: English, French/General settlement helpGet a settlement planHelp preparing for the citizenship testHelp connecting with the local communityServices available onlineHelp finding a jobJob-specific language trainingInformal language learning"
Lebanese & Arab Social Services Agency (LASSA),https://www.lassa.ca,2410 Holly Lane,"English, French, Arabic","['General settlement help', 'Get a settlement plan', 'Help preparing for the citizenship test', 'Help connecting with the local community', 'Services available online', 'Help finding a job']",http://maps.google.com/maps?q=2410%20Holly%20Lane%20%20Ottawa%20Ontario%20Canada,"Ottawa, OntarioK1V 7P1Telephone: 613-236-0003Languages of service: English, French, Arabic/General settlement helpGet a settlement planHelp preparing for the citizenship testHelp connecting with the local communityServices available onlineHelp finding a job"
Lethbridge College,https://lethbridgecollege.ca/departments/english-language-centre,"3000 College Drive South, Unit AN2730",English,"['Help connecting with the local community', 'Services available online', 'Help finding a job', 'General language training', 'Job-specific language training', 'Services for refugees']",http://maps.google.com/maps?q=3000%20College%20Drive%20South%2C%20Unit%20AN2730%20Lethbridge%20Alberta%20Canada,"Lethbridge, AlbertaT1K 1L6Telephone: 403-320-2022Languages of service: English/Help connecting with the local communityServices available onlineHelp finding a jobGeneral language trainingJob-specific language trainingServices for refugees"
Lethbridge College - English Language Centre,https://lethbridgecollege.ca/departments/english-language-centre,"3000 College Drive South, Unit AN2730",English,"['Services available online', 'General language training']",http://maps.google.com/maps?q=3000%20College%20Drive%20South%2C%20Unit%20AN2730%20Lethbridge%20Alberta%20Canada,"Lethbridge, AlbertaT1K 1L6Telephone: 403-320-2022Languages of service: English/Services available onlineGeneral language training"
Lethbridge Family Services - Immigrant Services,https://www.lfsfamily.ca,1107 2 Avenue A North,"English, French","['General settlement help', 'Get a settlement plan', 'Help connecting with the local community', 'Help finding a job', 'Help getting a licence or certification in a regulated profession', 'Informal language learning', 'Services for children', 'Services for youth', 'Services for women', 'Services for French speakers', 'Services for refugees']",http://maps.google.com/maps?q=1107%202%20Avenue%20A%20North%20%20Lethbridge%20Alberta%20Canada,"Lethbridge, AlbertaT1H 0E6Telephone: 403-320-1589Languages of service: English, French/General settlement helpGet a settlement planHelp connecting with the local communityHelp finding a jobHelp getting a licence or certification in a regulated professionInformal language learningServices for childrenServices for youthServices for womenServices for French speakersServices for refugees"
Lift Community Services - Lift Immigrant Welcome Centre,https://liftcommunityservices.org/,"4871 Joyce Avenue, Unit 106",Mandarin,"['General settlement help', 'Get a settlement plan', 'Help preparing for the citizenship test', 'Help connecting with the local community', 'Services available online', 'Help finding a job', 'Help getting a licence or certification in a regulated profession', 'Language assessment', 'General language training', 'Job-specific language training', 'Informal language learning', 'Services for women']",http://maps.google.com/maps?q=4871%20Joyce%20Avenue%2C%20Unit%20106%20Powell%20River%20British%20Columbia%20Canada,"Powell River, British ColumbiaV8A 5P4Telephone: 604-414-3630Languages of service: Mandarin/General settlement helpGet a settlement planHelp preparing for the citizenship testHelp connecting with the local communityServices available onlineHelp finding a jobHelp getting a licence or certification in a regulated professionLanguage assessmentGeneral language trainingJob-specific language trainingInformal language learningServices for women"
Links for Greener Learning Inc.,https://linksforgreenerlearning.org/,"15 Main Street, Unit B","English, Arabic, Spanish","['Get a settlement plan', 'Help connecting with the local community', 'Services available online', 'Informal language learning', 'Services for children', 'Services for youth', 'Services for women', 'Services for seniors', 'Services for refugees']",http://maps.google.com/maps?q=15%20Main%20Street%2C%20Unit%20B%20St.%20Catherines%20Ontario%20Canada,"St. Catherines, OntarioL2N 4T5Telephone: 905-397-5639Languages of service: English, Arabic, Spanish/Get a settlement planHelp connecting with the local communityServices available onlineInformal language learningServices for childrenServices for youthServices for womenServices for seniorsServices for refugees"
Louis Riel School Division - Rene Deleurme Centre,https://www.lrsd.net/rdc,511 St. Anne's Road,"English, French, Amharic, Arabic, Bulgarian, Kiswahili, Lingala, Oromo, Russian, Sango, Somali, Spanish, Swahili","['General settlement help', 'Help preparing for the citizenship test', 'Help connecting with the local community', 'Services available online', 'Help finding a job', 'Informal language learning', 'Services for children', 'Services for youth', 'Services for women', 'Services for refugees']",http://maps.google.com/maps?q=511%20St.%20Anne,"Winnipeg, ManitobaR2M 3E5Telephone: 204-257-7308Languages of service: English, French, Amharic, Arabic, Bulgarian, Kiswahili, Lingala, Oromo, Russian, Sango, Somali, Spanish, Swahili/General settlement helpHelp preparing for the citizenship testHelp connecting with the local communityServices available onlineHelp finding a jobInformal language learningServices for childrenServices for youthServices for womenServices for refugees"
Louis Riel School Division - Rene Deleurme Centre,https://www.lrsd.net/rdc,511 St. Anne's Road,"English, French, Amharic, Arabic, Bulgarian, Kiswahili, Lingala, Oromo, Russian, Sango, Somali, Spanish, Swahili","['General settlement help', 'Help preparing for the citizenship test', 'Help connecting with the local community', 'Services available online', 'Help finding a job', 'Informal language learning', 'Services for children', 'Services for youth', 'Services for women', 'Services for refugees']",http://maps.google.com/maps?q=511%20St.%20Anne,"Winnipeg, ManitobaR2M 3E5Telephone: 204-257-7308Languages of service: English, French, Amharic, Arabic, Bulgarian, Kiswahili, Lingala, Oromo, Russian, Sango, Somali, Spanish, Swahili/General settlement helpHelp preparing for the citizenship testHelp connecting with the local communityServices available onlineHelp finding a jobInformal language learningServices for childrenServices for youthServices for womenServices for refugees"
LUSO Community Services - London Public Library-Beacock Branch Library,https://www.lpl.ca/hours-locations,1280 Huron Street,"English, Arabic, Farsi (Persian), Spanish, Turkish","['General settlement help', 'Get a settlement plan', 'Help preparing for the citizenship test', 'Help connecting with the local community', 'Services available online', 'Informal language learning']",http://maps.google.com/maps?q=1280%20Huron%20Street%20%20London%20Ontario%20Canada,"London, OntarioN5Y 4M2Telephone: 519-451-8140Languages of service: English, Arabic, Farsi (Persian), Spanish, Turkish/General settlement helpGet a settlement planHelp preparing for the citizenship testHelp connecting with the local communityServices available onlineInformal language learning"
LUSO Community Services - London Public Library-Masonville Branch Library,https://www.lpl.ca/hours-locations,30 North Centre Road,"English, Arabic, Chinese","['General settlement help', 'Get a settlement plan', 'Help preparing for the citizenship test', 'Help connecting with the local community', 'Services available online', 'Informal language learning']",http://maps.google.com/maps?q=30%20North%20Centre%20Road%20%20London%20Ontario%20Canada,"London, OntarioN5X 3W1Telephone: 519-660-4646Languages of service: English, Arabic, Chinese/General settlement helpGet a settlement planHelp preparing for the citizenship testHelp connecting with the local communityServices available onlineInformal language learning"
LUSO Community Services - London Public Library-Stoney Creek Branch Library,https://www.lpl.ca/hours-locations,920 Sunningdale Road East,"English, Arabic, Turkish","['General settlement help', 'Get a settlement plan', 'Help preparing for the citizenship test', 'Help connecting with the local community', 'Services available online', 'Informal language learning']",http://maps.google.com/maps?q=920%20Sunningdale%20Road%20East%20%20London%20Ontario%20Canada,"London, OntarioN5X 0H5Telephone: 519-930-2065Languages of service: English, Arabic, Turkish/General settlement helpGet a settlement planHelp preparing for the citizenship testHelp connecting with the local communityServices available onlineInformal language learning"
LUSO Community Services - LUSO main office,https://www.lusocentre.org,"1193 Oxford Street East, Unit 2","English, Arabic, Hindi, Pashto, Somali, Spanish, Swahili, Urdu","['General settlement help', 'Get a settlement plan', 'Help connecting with the local community', 'Services available online']",http://maps.google.com/maps?q=1193%20Oxford%20Street%20East%2C%20Unit%202%20London%20Ontario%20Canada,"London, OntarioN5Y 3M2Telephone: 519-452-1466Languages of service: English, Arabic, Hindi, Pashto, Somali, Spanish, Swahili, Urdu/General settlement helpGet a settlement planHelp connecting with the local communityServices available online"
Lutherwood,https://www.lutherwood.ca/,"89 Wyndham Street North, Floor 3","English, Amharic, Pashto, Portuguese, Spanish, Tagalog, Tigrigna, Ukrainian, Urdu","['Services available online', 'Help finding a job', 'Help getting a licence or certification in a regulated profession', 'Services for youth']",http://maps.google.com/maps?q=89%20Wyndham%20Street%20North%2C%20Floor%203%20Guelpth%20Ontario%20Canada,"Guelpth, OntarioN1H 4E9Telephone: 519-822-4141Languages of service: English, Amharic, Pashto, Portuguese, Spanish, Tagalog, Tigrigna, Ukrainian, Urdu/Services available onlineHelp finding a jobHelp getting a licence or certification in a regulated professionServices for youth"
Lutherwood - The Workforce Planning Board of Waterloo Wellington Dufferin,https://workforceplanningboard.com,73 Water Street North,English,"['Help connecting with the local community', 'Services available online', 'Help finding a job', 'Help getting a licence or certification in a regulated profession']",http://maps.google.com/maps?q=73%20Water%20Street%20North%20%20Cambridge%20Ontario%20Canada,"Cambridge, OntarioN1R 7L6Telephone: 519-622-7122Languages of service: English/Help connecting with the local communityServices available onlineHelp finding a jobHelp getting a licence or certification in a regulated profession"
M.O.S.A.I.C Multi-Lingual Orientation Service Association for Immigrant Communities - Brentwood Community Resources Centre,https://mosaicbc.org/,2055 Rosser Avenue,"English, French, Amharic, Arabic, Cantonese, Chiuchow, Dari, Farsi (Persian), Hokkin, Kinyarwanda, Kirundi, Korean, Kurdish, Mandarin, Pashto, Russian, Spanish, Swahili, Tagalog, Tigrigna, Ukrainian","['General settlement help', 'Get a settlement plan', 'Help preparing for the citizenship test', 'Help connecting with the local community', 'Services available online', 'Help finding a job', 'Help getting a licence or certification in a regulated profession', 'Informal language learning', 'Services for French speakers']",http://maps.google.com/maps?q=2055%20Rosser%20Avenue%20%20Burnaby%20British%20Columbia%20Canada,"Burnaby, British ColumbiaV5C 0H1Telephone: 604-292-3908Languages of service: English, French, Amharic, Arabic, Cantonese, Chiuchow, Dari, Farsi (Persian), Hokkin, Kinyarwanda, Kirundi, Korean, Kurdish, Mandarin, Pashto, Russian, Spanish, Swahili, Tagalog, Tigrigna, Ukrainian/General settlement helpGet a settlement planHelp preparing for the citizenship testHelp connecting with the local communityServices available onlineHelp finding a jobHelp getting a licence or certification in a regulated professionInformal language learningServices for French speakers"
M.O.S.A.I.C Multi-Lingual Orientation Service Association for Immigrant Communities - Burnaby Language Centre,https://mosaicbc.org/our-programs/free-english-classes-in-vancouver/,"4800 Kingsway, Unit 480","English, Arabic, Armenian, Chinese, Chinese - Simplified (translation only), Chinese - Traditional (translation only), Dari, Farsi (Persian), Mandarin, Persian, Turkish","['General settlement help', 'Help connecting with the local community', 'Services available online', 'General language training', 'Services for children']",http://maps.google.com/maps?q=4800%20Kingsway%2C%20Unit%20480%20Burnaby%20British%20Columbia%20Canada,"Burnaby, British ColumbiaV5H 4J2Telephone: 604-298-8201Languages of service: English, Arabic, Armenian, Chinese, Chinese - Simplified (translation only), Chinese - Traditional (translation only), Dari, Farsi (Persian), Mandarin, Persian, Turkish/General settlement helpHelp connecting with the local communityServices available onlineGeneral language trainingServices for children"
M.O.S.A.I.C Multi-Lingual Orientation Service Association for Immigrant Communities - Head Start English,https://mosaicbc.org/our-programs/head-start-english-course/,"11125 124 Street, Suite 100","English, Chinese, Chinese - Simplified (translation only), Chinese - Traditional (translation only), Mandarin","['Help connecting with the local community', 'Services available online', 'Help finding a job', 'General language training', 'Job-specific language training']",http://maps.google.com/maps?q=11125%20124%20Street%2C%20Suite%20100%20Surrey%20British%20Columbia%20Canada,"Surrey, British ColumbiaV3V 4V2Telephone: 604-708-3905Languages of service: English, Chinese, Chinese - Simplified (translation only), Chinese - Traditional (translation only), Mandarin/Help connecting with the local communityServices available onlineHelp finding a jobGeneral language trainingJob-specific language training"
M.O.S.A.I.C Multi-Lingual Orientation Service Association for Immigrant Communities - MOSAIC Family Centre,https://mosaicbc.org/,7009 Kingsway,"English, Amharic, Arabic, Dari, Farsi (Persian), Hindi, Korean, Pashto, Punjabi, Tagalog, Tigrigna, Urdu","['General settlement help', 'Get a settlement plan', 'Help connecting with the local community', 'Informal language learning', 'Services for children', 'Services for women', 'Services for refugees']",http://maps.google.com/maps?q=7009%20Kingsway%20%20Burnaby%20British%20Columbia%20Canada,"Burnaby, British ColumbiaV5E 1E5Telephone: 604-636-0120Languages of service: English, Amharic, Arabic, Dari, Farsi (Persian), Hindi, Korean, Pashto, Punjabi, Tagalog, Tigrigna, Urdu/General settlement helpGet a settlement planHelp connecting with the local communityInformal language learningServices for childrenServices for womenServices for refugees"
M.O.S.A.I.C Multi-Lingual Orientation Service Association for Immigrant Communities - MOSAIC HQ,https://mosaicbc.org/,5575 Boundary Road,"English, French, Amharic, Arabic, Cantonese, Chiuchow, Dari, Farsi (Persian), Hokkin, Kinyarwanda, Kirundi, Korean, Kurdish, Mandarin, Pashto, Russian, Spanish, Swahili, Tagalog, Tigrigna, Ukrainian","['General settlement help', 'Get a settlement plan', 'Help preparing for the citizenship test', 'Help connecting with the local community', 'Services available online', 'Help finding a job', 'Help getting a licence or certification in a regulated profession', 'Informal language learning', 'Services for youth', 'Services for seniors', 'Services for French speakers', 'Services for 2SLGBTQI+', 'Services for people experiencing gender-based violence']",http://maps.google.com/maps?q=5575%20Boundary%20Road%20%20Vancouver%20British%20Columbia%20Canada,"Vancouver, British ColumbiaV5R 2P9Telephone: 604-254-9626Languages of service: English, French, Amharic, Arabic, Cantonese, Chiuchow, Dari, Farsi (Persian), Hokkin, Kinyarwanda, Kirundi, Korean, Kurdish, Mandarin, Pashto, Russian, Spanish, Swahili, Tagalog, Tigrigna, Ukrainian/General settlement helpGet a settlement planHelp preparing for the citizenship testHelp connecting with the local communityServices available onlineHelp finding a jobHelp getting a licence or certification in a regulated professionInformal language learningServices for youthServices for seniorsServices for French speakersServices for 2SLGBTQI+Services for people experiencing gender-based violence"
"M.O.S.A.I.C Multi-Lingual Orientation Service Association for Immigrant Communities - MOSAIC Settlement, Employment and Seniors Programs-Highgate",https://mosaicbc.org/,"7155 Kingsway, Unit 310 & 315","English, French, Amharic, Arabic, Cantonese, Chiuchow, Dari, Farsi (Persian), Hokkin, Kinyarwanda, Kirundi, Korean, Kurdish, Lingala, Mandarin, other African languages, Pashto, Russian, Spanish, Swahili, Tagalog, Tigrigna, Ukrainian","['General settlement help', 'Get a settlement plan', 'Help preparing for the citizenship test', 'Help connecting with the local community', 'Services available online', 'Help finding a job', 'Help getting a licence or certification in a regulated profession', 'Informal language learning', 'Services for youth', 'Services for French speakers', 'Services for refugees']",http://maps.google.com/maps?q=7155%20Kingsway%2C%20Unit%20310%20%26%20315%20Surrey%20British%20Columbia%20Canada,"Surrey, British ColumbiaV5E 2V1Telephone: 604-438-8214Languages of service: English, French, Amharic, Arabic, Cantonese, Chiuchow, Dari, Farsi (Persian), Hokkin, Kinyarwanda, Kirundi, Korean, Kurdish, Lingala, Mandarin, other African languages, Pashto, Russian, Spanish, Swahili, Tagalog, Tigrigna, Ukrainian/General settlement helpGet a settlement planHelp preparing for the citizenship testHelp connecting with the local communityServices available onlineHelp finding a jobHelp getting a licence or certification in a regulated professionInformal language learningServices for youthServices for French speakersServices for refugees"
M.O.S.A.I.C Multi-Lingual Orientation Service Association for Immigrant Communities - MOSAIC Surrey Newcomer Centre and Migrant Workers Hub,https://mosaicbc.org/our-programs/free-english-classes-in-vancouver/,"7134 King George Boulevard, Unit 200","English, French, Arabic, Bengali, Cantonese, Chinese, Chinese - Simplified (translation only), Chinese - Traditional (translation only), Dari, Farsi (Persian), Hindi, Mandarin, Pashto, Persian, Punjabi, Spanish, Urdu","['General settlement help', 'Get a settlement plan', 'Help preparing for the citizenship test', 'Help connecting with the local community', 'Services available online', 'Help finding a job', 'Help getting a licence or certification in a regulated profession', 'Language assessment', 'General language training', 'Job-specific language training', 'Informal language learning', 'Services for children', 'Services for youth', 'Services for women', 'Services for seniors', 'Services for French speakers', 'Services for refugees', 'Services for 2SLGBTQI+', 'Services for people experiencing gender-based violence']",http://maps.google.com/maps?q=7134%20King%20George%20Boulevard%2C%20Unit%20200%20Surrey%20British%20Columbia%20Canada,"Surrey, British ColumbiaV3W 5A3Telephone: 778-591-9334Languages of service: English, French, Arabic, Bengali, Cantonese, Chinese, Chinese - Simplified (translation only), Chinese - Traditional (translation only), Dari, Farsi (Persian), Hindi, Mandarin, Pashto, Persian, Punjabi, Spanish, Urdu/General settlement helpGet a settlement planHelp preparing for the citizenship testHelp connecting with the local communityServices available onlineHelp finding a jobHelp getting a licence or certification in a regulated professionLanguage assessmentGeneral language trainingJob-specific language trainingInformal language learningServices for childrenServices for youthServices for womenServices for seniorsServices for French speakersServices for refugeesServices for 2SLGBTQI+Services for people experiencing gender-based violence"
M.O.S.A.I.C Multi-Lingual Orientation Service Association for Immigrant Communities - MOSAIC Surrey Newcomer Centre and Migrant Workers Hub,https://mosaicbc.org/,"7134 King George Boulevard, Unit 200","English, French, Amharic, Arabic, Cantonese, Chiuchow, Dari, Farsi (Persian), Hindi, Hokkin, Kinyarwanda, Kirundi, Korean, Kurdish, Lingala, Mandarin, other African languages, Pashto, Punjabi, Russian, Spanish, Swahili, Tagalog, Tigrigna, Ukrainian, Urdu","['General settlement help', 'Get a settlement plan', 'Help preparing for the citizenship test', 'Help connecting with the local community', 'Services available online', 'Help finding a job', 'Help getting a licence or certification in a regulated profession', 'Informal language learning', 'Services for women', 'Services for French speakers', 'Services for refugees', 'Services for people experiencing gender-based violence']",http://maps.google.com/maps?q=7134%20King%20George%20Boulevard%2C%20Unit%20200%20Surrey%20British%20Columbia%20Canada,"Surrey, British ColumbiaV3W 5A3Telephone: 778-591-9334Languages of service: English, French, Amharic, Arabic, Cantonese, Chiuchow, Dari, Farsi (Persian), Hindi, Hokkin, Kinyarwanda, Kirundi, Korean, Kurdish, Lingala, Mandarin, other African languages, Pashto, Punjabi, Russian, Spanish, Swahili, Tagalog, Tigrigna, Ukrainian, Urdu/General settlement helpGet a settlement planHelp preparing for the citizenship testHelp connecting with the local communityServices available onlineHelp finding a jobHelp getting a licence or certification in a regulated professionInformal language learningServices for womenServices for French speakersServices for refugeesServices for people experiencing gender-based violence"
